"ensembl_gene_id","external_gene_name","exon_chrom_start","exon_chrom_end","rank","ensembl_transcript_id"
"ENSG00000292357","CSF2RA",1268800,1268879,1,"ENST00000711138"
"ENSG00000292357","CSF2RA",1274755,1274842,2,"ENST00000711138"
"ENSG00000292357","CSF2RA",1303261,1303362,11,"ENST00000711138"
"ENSG00000292357","CSF2RA",1309402,1309934,14,"ENST00000711138"
"ENSG00000292357","CSF2RA",1282678,1282779,3,"ENST00000711137"
"ENSG00000292357","CSF2RA",1285778,1285920,4,"ENST00000711137"
"ENSG00000292357","CSF2RA",1288519,1288642,5,"ENST00000711137"
"ENSG00000292357","CSF2RA",1288759,1288888,6,"ENST00000711137"
"ENSG00000292357","CSF2RA",1290337,1290509,7,"ENST00000711137"
"ENSG00000292357","CSF2RA",1294328,1294461,8,"ENST00000711137"
"ENSG00000292357","CSF2RA",1295427,1295456,9,"ENST00000711137"
"ENSG00000292357","CSF2RA",1300491,1300626,10,"ENST00000711137"
"ENSG00000292357","CSF2RA",1303923,1304019,11,"ENST00000711137"
"ENSG00000292357","CSF2RA",1305446,1305527,12,"ENST00000711137"
"ENSG00000292357","CSF2RA",1274755,1274842,2,"ENST00000711137"
"ENSG00000292357","CSF2RA",1268808,1268879,1,"ENST00000711137"
"ENSG00000292357","CSF2RA",1309402,1310381,13,"ENST00000711137"
"ENSG00000292357","CSF2RA",1274755,1274842,2,"ENST00000711136"
"ENSG00000292357","CSF2RA",1268814,1268879,1,"ENST00000711136"
"ENSG00000292357","CSF2RA",1282678,1282779,3,"ENST00000711136"
"ENSG00000292357","CSF2RA",1288519,1288642,4,"ENST00000711136"
"ENSG00000292357","CSF2RA",1288759,1288888,5,"ENST00000711136"
"ENSG00000292357","CSF2RA",1290337,1290509,6,"ENST00000711136"
"ENSG00000292357","CSF2RA",1294328,1294461,7,"ENST00000711136"
"ENSG00000292357","CSF2RA",1295427,1295456,8,"ENST00000711136"
"ENSG00000292357","CSF2RA",1300491,1300543,9,"ENST00000711136"
"ENSG00000292357","CSF2RA",1274755,1274842,2,"ENST00000711135"
"ENSG00000292357","CSF2RA",1268814,1268879,1,"ENST00000711135"
"ENSG00000292357","CSF2RA",1288519,1288642,5,"ENST00000711135"
"ENSG00000292357","CSF2RA",1288759,1288888,6,"ENST00000711135"
"ENSG00000292357","CSF2RA",1290337,1290509,7,"ENST00000711135"
"ENSG00000292357","CSF2RA",1294328,1294461,8,"ENST00000711135"
"ENSG00000292357","CSF2RA",1295427,1295456,9,"ENST00000711135"
"ENSG00000292357","CSF2RA",1282678,1283042,3,"ENST00000711135"
"ENSG00000292357","CSF2RA",1285778,1285920,4,"ENST00000711135"
"ENSG00000292357","CSF2RA",1300491,1300626,10,"ENST00000711135"
"ENSG00000292357","CSF2RA",1303261,1303362,11,"ENST00000711135"
"ENSG00000292357","CSF2RA",1303923,1304019,12,"ENST00000711135"
"ENSG00000292357","CSF2RA",1305446,1305527,13,"ENST00000711135"
"ENSG00000292357","CSF2RA",1309402,1309718,14,"ENST00000711135"
"ENSG00000292357","CSF2RA",1274755,1274818,2,"ENST00000711129"
"ENSG00000292357","CSF2RA",1282678,1282779,3,"ENST00000711129"
"ENSG00000292357","CSF2RA",1285778,1285920,4,"ENST00000711129"
"ENSG00000292357","CSF2RA",1288519,1288642,5,"ENST00000711129"
"ENSG00000292357","CSF2RA",1288759,1288888,6,"ENST00000711129"
"ENSG00000292357","CSF2RA",1290337,1290509,7,"ENST00000711129"
"ENSG00000292357","CSF2RA",1294328,1294461,8,"ENST00000711129"
"ENSG00000292357","CSF2RA",1295427,1295456,9,"ENST00000711129"
"ENSG00000292357","CSF2RA",1300491,1300626,10,"ENST00000711129"
"ENSG00000292357","CSF2RA",1303923,1304019,11,"ENST00000711129"
"ENSG00000292357","CSF2RA",1305446,1305527,12,"ENST00000711129"
"ENSG00000292357","CSF2RA",1268814,1268879,1,"ENST00000711129"
"ENSG00000292357","CSF2RA",1309402,1309935,13,"ENST00000711129"
"ENSG00000292357","CSF2RA",1282678,1282779,2,"ENST00000711130"
"ENSG00000292357","CSF2RA",1285778,1285920,3,"ENST00000711130"
"ENSG00000292357","CSF2RA",1288519,1288642,4,"ENST00000711130"
"ENSG00000292357","CSF2RA",1288759,1288888,5,"ENST00000711130"
"ENSG00000292357","CSF2RA",1290337,1290509,6,"ENST00000711130"
"ENSG00000292357","CSF2RA",1268818,1268879,1,"ENST00000711130"
"ENSG00000292357","CSF2RA",1294328,1294395,7,"ENST00000711130"
"ENSG00000292357","CSF2RA",1282678,1282779,3,"ENST00000850689"
"ENSG00000292357","CSF2RA",1285778,1285920,4,"ENST00000850689"
"ENSG00000292357","CSF2RA",1288519,1288642,5,"ENST00000850689"
"ENSG00000292357","CSF2RA",1288759,1288888,6,"ENST00000850689"
"ENSG00000292357","CSF2RA",1290337,1290509,7,"ENST00000850689"
"ENSG00000292357","CSF2RA",1294328,1294461,8,"ENST00000850689"
"ENSG00000292357","CSF2RA",1295427,1295456,9,"ENST00000850689"
"ENSG00000292357","CSF2RA",1300491,1300626,10,"ENST00000850689"
"ENSG00000292357","CSF2RA",1303923,1304019,11,"ENST00000850689"
"ENSG00000292357","CSF2RA",1305446,1305527,12,"ENST00000850689"
"ENSG00000292357","CSF2RA",1274755,1274842,2,"ENST00000850689"
"ENSG00000292357","CSF2RA",1268818,1268879,1,"ENST00000850689"
"ENSG00000292357","CSF2RA",1322465,1322487,13,"ENST00000850689"
"ENSG00000292357","CSF2RA",1322820,1323174,14,"ENST00000850689"
"ENSG00000292357","CSF2RA",1274755,1274818,2,"ENST00000711131"
"ENSG00000292357","CSF2RA",1282678,1282779,4,"ENST00000711131"
"ENSG00000292357","CSF2RA",1285778,1285920,5,"ENST00000711131"
"ENSG00000292357","CSF2RA",1288519,1288642,6,"ENST00000711131"
"ENSG00000292357","CSF2RA",1288759,1288888,7,"ENST00000711131"
"ENSG00000292357","CSF2RA",1290337,1290509,8,"ENST00000711131"
"ENSG00000292357","CSF2RA",1294328,1294461,9,"ENST00000711131"
"ENSG00000292357","CSF2RA",1295427,1295456,10,"ENST00000711131"
"ENSG00000292357","CSF2RA",1300491,1300626,11,"ENST00000711131"
"ENSG00000292357","CSF2RA",1303923,1304019,12,"ENST00000711131"
"ENSG00000292357","CSF2RA",1305446,1305527,13,"ENST00000711131"
"ENSG00000292357","CSF2RA",1268830,1268879,1,"ENST00000711131"
"ENSG00000292357","CSF2RA",1282409,1282560,3,"ENST00000711131"
"ENSG00000292357","CSF2RA",1309402,1309924,14,"ENST00000711131"
"ENSG00000292357","CSF2RA",1282678,1282779,3,"ENST00000711220"
"ENSG00000292357","CSF2RA",1285778,1285920,4,"ENST00000711220"
"ENSG00000292357","CSF2RA",1288519,1288642,5,"ENST00000711220"
"ENSG00000292357","CSF2RA",1288759,1288888,6,"ENST00000711220"
"ENSG00000292357","CSF2RA",1290337,1290509,7,"ENST00000711220"
"ENSG00000292357","CSF2RA",1294328,1294461,8,"ENST00000711220"
"ENSG00000292357","CSF2RA",1295427,1295456,9,"ENST00000711220"
"ENSG00000292357","CSF2RA",1300491,1300626,10,"ENST00000711220"
"ENSG00000292357","CSF2RA",1303923,1304019,11,"ENST00000711220"
"ENSG00000292357","CSF2RA",1305446,1305527,12,"ENST00000711220"
"ENSG00000292357","CSF2RA",1274755,1274842,2,"ENST00000711220"
"ENSG00000292357","CSF2RA",1268832,1268879,1,"ENST00000711220"
"ENSG00000292357","CSF2RA",1305628,1305941,13,"ENST00000711220"
"ENSG00000292357","CSF2RA",1282678,1282779,3,"ENST00000711221"
"ENSG00000292357","CSF2RA",1285778,1285920,4,"ENST00000711221"
"ENSG00000292357","CSF2RA",1274755,1274842,2,"ENST00000711221"
"ENSG00000292357","CSF2RA",1268832,1268879,1,"ENST00000711221"
"ENSG00000292357","CSF2RA",1287174,1287198,5,"ENST00000711221"
"ENSG00000292357","CSF2RA",1309840,1309922,6,"ENST00000711221"
"ENSG00000292357","CSF2RA",1282678,1282779,3,"ENST00000850690"
"ENSG00000292357","CSF2RA",1285778,1285920,4,"ENST00000850690"
"ENSG00000292357","CSF2RA",1288519,1288642,5,"ENST00000850690"
"ENSG00000292357","CSF2RA",1288759,1288888,6,"ENST00000850690"
"ENSG00000292357","CSF2RA",1290337,1290509,7,"ENST00000850690"
"ENSG00000292357","CSF2RA",1294328,1294461,8,"ENST00000850690"
"ENSG00000292357","CSF2RA",1295427,1295456,9,"ENST00000850690"
"ENSG00000292357","CSF2RA",1300491,1300626,10,"ENST00000850690"
"ENSG00000292357","CSF2RA",1303923,1304019,11,"ENST00000850690"
"ENSG00000292357","CSF2RA",1305446,1305527,12,"ENST00000850690"
"ENSG00000292357","CSF2RA",1274755,1274842,2,"ENST00000850690"
"ENSG00000292357","CSF2RA",1268834,1268879,1,"ENST00000850690"
"ENSG00000292357","CSF2RA",1322465,1323193,13,"ENST00000850690"
"ENSG00000292357","CSF2RA",1282678,1282779,3,"ENST00000850691"
"ENSG00000292357","CSF2RA",1285778,1285920,4,"ENST00000850691"
"ENSG00000292357","CSF2RA",1288519,1288642,5,"ENST00000850691"
"ENSG00000292357","CSF2RA",1288759,1288888,6,"ENST00000850691"
"ENSG00000292357","CSF2RA",1290337,1290509,7,"ENST00000850691"
"ENSG00000292357","CSF2RA",1294328,1294461,8,"ENST00000850691"
"ENSG00000292357","CSF2RA",1295427,1295456,9,"ENST00000850691"
"ENSG00000292357","CSF2RA",1300491,1300626,10,"ENST00000850691"
"ENSG00000292357","CSF2RA",1303923,1304019,11,"ENST00000850691"
"ENSG00000292357","CSF2RA",1305446,1305527,12,"ENST00000850691"
"ENSG00000292357","CSF2RA",1274755,1274842,2,"ENST00000850691"
"ENSG00000292357","CSF2RA",1268834,1268879,1,"ENST00000850691"
"ENSG00000292357","CSF2RA",1325028,1325216,13,"ENST00000850691"
"ENSG00000292357","CSF2RA",1274755,1274818,2,"ENST00000711222"
"ENSG00000292357","CSF2RA",1268835,1268879,1,"ENST00000711222"
"ENSG00000292357","CSF2RA",1281871,1282220,3,"ENST00000711222"
"ENSG00000292357","CSF2RA",1282678,1282779,3,"ENST00000711223"
"ENSG00000292357","CSF2RA",1285778,1285920,4,"ENST00000711223"
"ENSG00000292357","CSF2RA",1288519,1288642,5,"ENST00000711223"
"ENSG00000292357","CSF2RA",1288759,1288888,6,"ENST00000711223"
"ENSG00000292357","CSF2RA",1290337,1290509,7,"ENST00000711223"
"ENSG00000292357","CSF2RA",1294328,1294461,8,"ENST00000711223"
"ENSG00000292357","CSF2RA",1295427,1295456,9,"ENST00000711223"
"ENSG00000292357","CSF2RA",1300491,1300626,10,"ENST00000711223"
"ENSG00000292357","CSF2RA",1274755,1274842,2,"ENST00000711223"
"ENSG00000292357","CSF2RA",1268845,1268879,1,"ENST00000711223"
"ENSG00000292357","CSF2RA",1309402,1309934,11,"ENST00000711223"
"ENSG00000292357","CSF2RA",1282678,1282779,3,"ENST00000711224"
"ENSG00000292357","CSF2RA",1285778,1285920,4,"ENST00000711224"
"ENSG00000292357","CSF2RA",1288519,1288642,5,"ENST00000711224"
"ENSG00000292357","CSF2RA",1288759,1288888,6,"ENST00000711224"
"ENSG00000292357","CSF2RA",1290337,1290509,7,"ENST00000711224"
"ENSG00000292357","CSF2RA",1274755,1274842,2,"ENST00000711224"
"ENSG00000292357","CSF2RA",1268845,1268879,1,"ENST00000711224"
"ENSG00000292357","CSF2RA",1305446,1305527,8,"ENST00000711224"
"ENSG00000292357","CSF2RA",1309402,1309934,9,"ENST00000711224"
"ENSG00000292357","CSF2RA",1282678,1282779,3,"ENST00000711225"
"ENSG00000292357","CSF2RA",1285778,1285920,4,"ENST00000711225"
"ENSG00000292357","CSF2RA",1288519,1288642,5,"ENST00000711225"
"ENSG00000292357","CSF2RA",1288759,1288888,6,"ENST00000711225"
"ENSG00000292357","CSF2RA",1290337,1290509,7,"ENST00000711225"
"ENSG00000292357","CSF2RA",1294328,1294461,8,"ENST00000711225"
"ENSG00000292357","CSF2RA",1295427,1295456,9,"ENST00000711225"
"ENSG00000292357","CSF2RA",1274755,1274842,2,"ENST00000711225"
"ENSG00000292357","CSF2RA",1305446,1305527,11,"ENST00000711225"
"ENSG00000292357","CSF2RA",1268845,1268879,1,"ENST00000711225"
"ENSG00000292357","CSF2RA",1309402,1309934,12,"ENST00000711225"
"ENSG00000292357","CSF2RA",1303923,1304019,10,"ENST00000711225"
"ENSG00000292357","CSF2RA",1285778,1285920,2,"ENST00000711226"
"ENSG00000292357","CSF2RA",1288519,1288642,3,"ENST00000711226"
"ENSG00000292357","CSF2RA",1288759,1288888,4,"ENST00000711226"
"ENSG00000292357","CSF2RA",1290337,1290509,5,"ENST00000711226"
"ENSG00000292357","CSF2RA",1294328,1294461,6,"ENST00000711226"
"ENSG00000292357","CSF2RA",1295427,1295456,7,"ENST00000711226"
"ENSG00000292357","CSF2RA",1300491,1300626,8,"ENST00000711226"
"ENSG00000292357","CSF2RA",1305446,1305527,9,"ENST00000711226"
"ENSG00000292357","CSF2RA",1282686,1282779,1,"ENST00000711226"
"ENSG00000292357","CSF2RA",1309402,1309638,10,"ENST00000711226"
"ENSG00000292357","CSF2RA",1285652,1285920,1,"ENST00000711227"
"ENSG00000292357","CSF2RA",1288519,1288640,2,"ENST00000711227"
"ENSG00000292357","CSF2RA",1288598,1288642,1,"ENST00000711228"
"ENSG00000292357","CSF2RA",1288759,1289105,2,"ENST00000711228"
"ENSG00000292357","CSF2RA",1294328,1294461,2,"ENST00000711229"
"ENSG00000292357","CSF2RA",1295427,1295456,3,"ENST00000711229"
"ENSG00000292357","CSF2RA",1300491,1300626,4,"ENST00000711229"
"ENSG00000292357","CSF2RA",1290453,1290509,1,"ENST00000711229"
"ENSG00000292357","CSF2RA",1302897,1302916,5,"ENST00000711229"
"ENSG00000292357","CSF2RA",1309824,1309922,6,"ENST00000711229"
"ENSG00000292357","CSF2RA",1294225,1294461,1,"ENST00000711230"
"ENSG00000292357","CSF2RA",1295427,1295578,2,"ENST00000711230"
"ENSG00000158270","COLEC12",317099,317366,1,"ENST00000580242"
"ENSG00000158270","COLEC12",316740,316963,2,"ENST00000580242"
"ENSG00000158270","COLEC12",500508,500701,1,"ENST00000400256"
"ENSG00000158270","COLEC12",480707,480757,2,"ENST00000400256"
"ENSG00000158270","COLEC12",357400,357522,3,"ENST00000400256"
"ENSG00000158270","COLEC12",348065,348163,4,"ENST00000400256"
"ENSG00000158270","COLEC12",346295,347341,5,"ENST00000400256"
"ENSG00000158270","COLEC12",334742,335230,6,"ENST00000400256"
"ENSG00000158270","COLEC12",333007,333143,7,"ENST00000400256"
"ENSG00000158270","COLEC12",331668,331777,8,"ENST00000400256"
"ENSG00000158270","COLEC12",321662,321807,9,"ENST00000400256"
"ENSG00000158270","COLEC12",316737,320064,10,"ENST00000400256"
"ENSG00000158270","COLEC12",500508,500722,1,"ENST00000582147"
"ENSG00000158270","COLEC12",480707,480757,2,"ENST00000582147"
"ENSG00000158270","COLEC12",357400,357522,3,"ENST00000582147"
"ENSG00000158270","COLEC12",348065,348163,4,"ENST00000582147"
"ENSG00000158270","COLEC12",346295,347341,5,"ENST00000582147"
"ENSG00000158270","COLEC12",333007,335230,6,"ENST00000582147"
"ENSG00000158270","COLEC12",331668,331777,7,"ENST00000582147"
"ENSG00000158270","COLEC12",321662,321807,8,"ENST00000582147"
"ENSG00000158270","COLEC12",319361,320064,9,"ENST00000582147"
"ENSG00000141380","SS18",26090501,26090613,1,"ENST00000415083"
"ENSG00000141380","SS18",26087501,26087577,2,"ENST00000415083"
"ENSG00000141380","SS18",26078076,26078160,3,"ENST00000415083"
"ENSG00000141380","SS18",26057589,26057742,4,"ENST00000415083"
"ENSG00000141380","SS18",26052624,26052845,5,"ENST00000415083"
"ENSG00000141380","SS18",26039289,26039456,6,"ENST00000415083"
"ENSG00000141380","SS18",26038555,26038659,7,"ENST00000415083"
"ENSG00000141380","SS18",26035831,26035923,8,"ENST00000415083"
"ENSG00000141380","SS18",26035005,26035127,9,"ENST00000415083"
"ENSG00000141380","SS18",26032399,26032532,10,"ENST00000415083"
"ENSG00000141380","SS18",26016253,26018380,11,"ENST00000415083"
"ENSG00000141380","SS18",26087501,26087577,2,"ENST00000542420"
"ENSG00000141380","SS18",26078076,26078160,3,"ENST00000542420"
"ENSG00000141380","SS18",26057589,26057742,4,"ENST00000542420"
"ENSG00000141380","SS18",26052624,26052845,5,"ENST00000542420"
"ENSG00000141380","SS18",26039289,26039456,6,"ENST00000542420"
"ENSG00000141380","SS18",26038555,26038659,7,"ENST00000542420"
"ENSG00000141380","SS18",26035831,26035923,8,"ENST00000542420"
"ENSG00000141380","SS18",26035005,26035127,9,"ENST00000542420"
"ENSG00000141380","SS18",26032399,26032532,10,"ENST00000542420"
"ENSG00000141380","SS18",26091096,26091217,1,"ENST00000542420"
"ENSG00000141380","SS18",26017343,26018380,11,"ENST00000542420"
"ENSG00000141380","SS18",26087501,26087577,2,"ENST00000579640"
"ENSG00000141380","SS18",26090501,26090610,1,"ENST00000579640"
"ENSG00000141380","SS18",26082363,26082528,3,"ENST00000579640"
"ENSG00000141380","SS18",26078076,26078160,4,"ENST00000579640"
"ENSG00000141380","SS18",26057589,26057742,5,"ENST00000579640"
"ENSG00000141380","SS18",26052624,26052845,6,"ENST00000579640"
"ENSG00000141380","SS18",26039289,26039456,7,"ENST00000579640"
"ENSG00000141380","SS18",26038555,26038659,8,"ENST00000579640"
"ENSG00000141380","SS18",26035005,26035127,9,"ENST00000579640"
"ENSG00000141380","SS18",26032399,26032532,10,"ENST00000579640"
"ENSG00000141380","SS18",26017885,26018380,11,"ENST00000579640"
"ENSG00000141380","SS18",26087501,26087577,2,"ENST00000269138"
"ENSG00000141380","SS18",26052624,26052845,4,"ENST00000269138"
"ENSG00000141380","SS18",26039289,26039456,5,"ENST00000269138"
"ENSG00000141380","SS18",26038555,26038659,6,"ENST00000269138"
"ENSG00000141380","SS18",26035005,26035127,8,"ENST00000269138"
"ENSG00000141380","SS18",26032399,26032532,9,"ENST00000269138"
"ENSG00000141380","SS18",26090501,26090598,1,"ENST00000269138"
"ENSG00000141380","SS18",26057589,26057742,3,"ENST00000269138"
"ENSG00000141380","SS18",26035831,26035923,7,"ENST00000269138"
"ENSG00000141380","SS18",26018007,26018380,10,"ENST00000269138"
"ENSG00000141380","SS18",26087501,26087577,2,"ENST00000269137"
"ENSG00000141380","SS18",26078076,26078160,3,"ENST00000269137"
"ENSG00000141380","SS18",26057589,26057742,4,"ENST00000269137"
"ENSG00000141380","SS18",26052624,26052845,5,"ENST00000269137"
"ENSG00000141380","SS18",26039289,26039456,6,"ENST00000269137"
"ENSG00000141380","SS18",26038555,26038659,7,"ENST00000269137"
"ENSG00000141380","SS18",26035005,26035127,8,"ENST00000269137"
"ENSG00000141380","SS18",26032399,26032532,9,"ENST00000269137"
"ENSG00000141380","SS18",26090501,26090901,1,"ENST00000269137"
"ENSG00000141380","SS18",26018014,26018380,10,"ENST00000269137"
"ENSG00000141380","SS18",26087501,26087577,2,"ENST00000585121"
"ENSG00000141380","SS18",26078076,26078160,4,"ENST00000585121"
"ENSG00000141380","SS18",26057589,26057742,5,"ENST00000585121"
"ENSG00000141380","SS18",26052624,26052845,6,"ENST00000585121"
"ENSG00000141380","SS18",26039289,26039456,7,"ENST00000585121"
"ENSG00000141380","SS18",26038555,26038659,8,"ENST00000585121"
"ENSG00000141380","SS18",26035005,26035127,9,"ENST00000585121"
"ENSG00000141380","SS18",26032399,26032532,10,"ENST00000585121"
"ENSG00000141380","SS18",26090501,26090597,1,"ENST00000585121"
"ENSG00000141380","SS18",26080305,26080423,3,"ENST00000585121"
"ENSG00000141380","SS18",26018120,26018380,11,"ENST00000585121"
"ENSG00000141380","SS18",26032399,26032532,2,"ENST00000580958"
"ENSG00000141380","SS18",26035005,26035614,1,"ENST00000580958"
"ENSG00000141380","SS18",26018350,26018380,3,"ENST00000580958"
"ENSG00000141380","SS18",26032399,26032532,2,"ENST00000582092"
"ENSG00000141380","SS18",26035005,26035065,1,"ENST00000582092"
"ENSG00000141380","SS18",26023613,26023632,3,"ENST00000582092"
"ENSG00000141380","SS18",26090501,26090613,1,"ENST00000539244"
"ENSG00000141380","SS18",26057589,26057742,3,"ENST00000539244"
"ENSG00000141380","SS18",26052624,26052845,4,"ENST00000539244"
"ENSG00000141380","SS18",26039289,26039456,5,"ENST00000539244"
"ENSG00000141380","SS18",26038555,26038659,6,"ENST00000539244"
"ENSG00000141380","SS18",26035831,26035923,7,"ENST00000539244"
"ENSG00000141380","SS18",26078076,26078160,2,"ENST00000539244"
"ENSG00000141380","SS18",26035091,26035127,8,"ENST00000539244"
"ENSG00000141380","SS18",26078076,26078160,3,"ENST00000585241"
"ENSG00000141380","SS18",26057589,26057742,5,"ENST00000585241"
"ENSG00000141380","SS18",26052624,26052845,6,"ENST00000585241"
"ENSG00000141380","SS18",26090501,26090625,1,"ENST00000585241"
"ENSG00000141380","SS18",26087501,26087577,2,"ENST00000585241"
"ENSG00000141380","SS18",26068494,26068557,4,"ENST00000585241"
"ENSG00000141380","SS18",26039410,26039456,7,"ENST00000585241"
"ENSG00000141380","SS18",26087501,26087577,2,"ENST00000578954"
"ENSG00000141380","SS18",26078076,26078160,4,"ENST00000578954"
"ENSG00000141380","SS18",26057589,26057742,5,"ENST00000578954"
"ENSG00000141380","SS18",26090501,26090652,1,"ENST00000578954"
"ENSG00000141380","SS18",26084052,26084175,3,"ENST00000578954"
"ENSG00000141380","SS18",26052682,26052845,6,"ENST00000578954"
"ENSG00000141380","SS18",26087501,26087577,2,"ENST00000579061"
"ENSG00000141380","SS18",26078076,26078160,3,"ENST00000579061"
"ENSG00000141380","SS18",26057589,26057742,4,"ENST00000579061"
"ENSG00000141380","SS18",26091004,26091192,1,"ENST00000579061"
"ENSG00000141380","SS18",26052705,26052845,5,"ENST00000579061"
"ENSG00000141380","SS18",26087501,26087577,2,"ENST00000577636"
"ENSG00000141380","SS18",26078076,26078160,3,"ENST00000577636"
"ENSG00000141380","SS18",26057589,26057742,5,"ENST00000577636"
"ENSG00000141380","SS18",26091096,26091192,1,"ENST00000577636"
"ENSG00000141380","SS18",26068494,26068557,4,"ENST00000577636"
"ENSG00000141380","SS18",26052743,26052845,6,"ENST00000577636"
"ENSG00000141380","SS18",26087501,26087577,2,"ENST00000584083"
"ENSG00000141380","SS18",26078076,26078160,3,"ENST00000584083"
"ENSG00000141380","SS18",26057589,26057742,4,"ENST00000584083"
"ENSG00000141380","SS18",26089825,26090096,1,"ENST00000584083"
"ENSG00000141380","SS18",26052771,26052845,5,"ENST00000584083"
"ENSG00000141380","SS18",26087501,26087577,2,"ENST00000578700"
"ENSG00000141380","SS18",26078076,26078160,4,"ENST00000578700"
"ENSG00000141380","SS18",26057589,26057742,5,"ENST00000578700"
"ENSG00000141380","SS18",26091096,26091216,1,"ENST00000578700"
"ENSG00000141380","SS18",26079011,26079125,3,"ENST00000578700"
"ENSG00000141380","SS18",26052823,26052845,6,"ENST00000578700"
"ENSG00000141380","SS18",26087501,26087577,2,"ENST00000582792"
"ENSG00000141380","SS18",26078076,26078160,4,"ENST00000582792"
"ENSG00000141380","SS18",26090501,26090597,1,"ENST00000582792"
"ENSG00000141380","SS18",26081225,26081365,3,"ENST00000582792"
"ENSG00000141380","SS18",26057612,26057742,5,"ENST00000582792"
"ENSG00000141380","SS18",26087501,26087577,2,"ENST00000581021"
"ENSG00000141380","SS18",26078076,26078160,3,"ENST00000581021"
"ENSG00000141380","SS18",26089758,26090135,1,"ENST00000581021"
"ENSG00000141380","SS18",26057695,26057742,4,"ENST00000581021"
"ENSG00000141380","SS18",26087501,26087577,2,"ENST00000577572"
"ENSG00000141380","SS18",26078076,26078160,4,"ENST00000577572"
"ENSG00000141380","SS18",26068494,26068557,5,"ENST00000577572"
"ENSG00000141380","SS18",26079011,26079125,3,"ENST00000577572"
"ENSG00000141380","SS18",26090501,26090625,1,"ENST00000577572"
